<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2015.09.22	00:00:00	186.892	187.010	186.796	186.920	3450	2128230000	46
2015.09.22	01:00:00	186.923	186.983	186.851	186.912	4282	3661700000	40
2015.09.22	02:00:00	186.912	186.913	186.795	186.847	2900	1655200000	36
2015.09.22	03:00:00	186.848	186.925	186.749	186.797	3413	3068124000	33
2015.09.22	04:00:00	186.796	186.858	186.686	186.741	3599	2707267000	31
2015.09.22	05:00:00	186.741	186.875	186.735	186.852	3687	2752938000	30
2015.09.22	06:00:00	186.850	186.909	186.742	186.820	4935	4352273000	30
2015.09.22	07:00:00	186.820	186.923	186.789	186.826	4815	4274174000	29
2015.09.22	08:00:00	186.823	186.906	186.787	186.826	4428	3248510000	32
2015.09.22	09:00:00	186.831	186.846	186.461	186.519	8700	7678679000	29
2015.09.22	10:00:00	186.519	186.519	185.755	185.786	13390	12977803000	29
2015.09.22	11:00:00	185.785	185.867	185.325	185.638	14053	13350698000	29
2015.09.22	12:00:00	185.638	185.764	185.260	185.302	11892	11419207000	29
2015.09.22	13:00:00	185.304	185.353	184.809	185.147	11859	10892517000	29
2015.09.22	14:00:00	185.145	185.271	184.929	185.194	10210	9774212000	29
2015.09.22	15:00:00	185.198	185.229	184.857	184.969	11105	10817448000	29
2015.09.22	16:00:00	184.971	185.017	184.608	184.742	13627	12482466000	29
2015.09.22	17:00:00	184.740	184.864	184.089	184.157	14368	12703761000	29
2015.09.22	18:00:00	184.157	184.567	184.115	184.321	11982	10874021000	29
2015.09.22	19:00:00	184.321	184.594	184.262	184.407	8513	7504674000	30
2015.09.22	20:00:00	184.407	184.476	184.152	184.367	7277	6620626000	30
2015.09.22	21:00:00	184.364	184.584	184.275	184.503	6866	6129229000	29
2015.09.22	22:00:00	184.504	184.750	184.492	184.577	6631	5847642000	29
2015.09.22	23:00:00	184.574	184.650	184.522	184.558	4574	3060507000	29
2015.09.23	00:00:00	184.517	184.591	184.416	184.503	3034	2704366000	44
2015.09.23	01:00:00	184.499	184.514	184.217	184.217	3585	2577150000	36
2015.09.23	02:00:00	184.217	184.376	184.186	184.341	2700	2034586000	29
2015.09.23	03:00:00	184.343	184.646	184.340	184.544	5330	4678588000	29
2015.09.23	04:00:00	184.544	184.611	183.828	183.833	6183	5524799000	30
2015.09.23	05:00:00	183.837	184.003	183.671	183.999	7803	6390548000	29
2015.09.23	06:00:00	184.002	184.010	183.686	183.874	4968	4641222000	31
2015.09.23	07:00:00	183.874	183.932	183.682	183.761	4049	3914539000	31
2015.09.23	08:00:00	183.761	183.889	183.528	183.850	5425	4705312000	29
2015.09.23	09:00:00	183.851	184.351	183.727	184.336	10178	9292389000	29
2015.09.23	10:00:00	184.338	184.547	183.541	184.340	15030	13861929000	29
2015.09.23	11:00:00	184.340	184.522	184.264	184.454	11499	10821325000	29
2015.09.23	12:00:00	184.454	184.481	183.767	183.821	10903	9361575000	29
2015.09.23	13:00:00	183.818	184.096	183.636	184.096	9538	8171007000	29
2015.09.23	14:00:00	184.095	184.112	183.831	183.880	9496	8622029000	29
2015.09.23	15:00:00	183.880	183.894	183.336	183.358	11125	9902397000	29
2015.09.23	16:00:00	183.357	183.517	183.150	183.445	14291	12559131000	29
2015.09.23	17:00:00	183.445	183.781	183.317	183.460	14379	11893960000	29
2015.09.23	18:00:00	183.456	183.537	182.903	183.065	11903	11025928000	29
2015.09.23	19:00:00	183.075	183.432	182.978	183.432	8274	7909286000	29
2015.09.23	20:00:00	183.436	183.468	183.141	183.385	7418	7648034000	29
2015.09.23	21:00:00	183.376	183.457	183.232	183.288	7477	8058964000	29
2015.09.23	22:00:00	183.280	183.453	183.098	183.221	7546	7596898000	31
2015.09.23	23:00:00	183.223	183.400	183.219	183.287	5901	5300650000	33
2015.09.24	00:00:00	183.268	183.361	183.198	183.270	2680	3073506000	51
2015.09.24	01:00:00	183.279	183.323	183.227	183.299	4627	3962623000	35
2015.09.24	02:00:00	183.297	183.376	183.240	183.306	3515	2746278000	35
2015.09.24	03:00:00	183.306	183.543	183.166	183.177	8925	6824057000	29
2015.09.24	04:00:00	183.177	183.391	183.136	183.276	7910	7197050000	31
2015.09.24	05:00:00	183.276	183.327	182.803	182.968	7698	6439622000	29
2015.09.24	06:00:00	182.967	183.154	182.859	183.136	5707	5089344000	32
