iter	Passed	Remaining
0	41	41119
1	77	38589
2	113	37639
3	148	37000
4	175	34839
5	204	33891
6	236	33579
7	270	33542
8	304	33503
9	342	33927
10	385	34628
11	419	34506
12	455	34601
13	487	34345
14	520	34196
15	555	34182
16	593	34327
17	628	34284
18	663	34232
19	694	34015
20	727	33895
21	764	33979
22	795	33786
23	826	33591
24	855	33359
25	886	33222
26	924	33318
27	956	33211
28	990	33173
29	1020	33000
30	1050	32840
31	1085	32828
32	1116	32713
33	1149	32650
34	1182	32604
35	1228	32883
36	1269	33054
37	1308	33138
38	1336	32944
39	1372	32930
40	1409	32974
41	1457	33255
42	1492	33214
43	1525	33136
44	1559	33098
45	1614	33475
46	1652	33498
47	1684	33406
48	1710	33200
49	1745	33158
50	1776	33056
51	1806	32928
52	1841	32900
53	1870	32765
54	1907	32779
55	1941	32733
56	1975	32688
57	2005	32566
58	2034	32442
59	2067	32388
60	2101	32354
61	2136	32318
62	2167	32242
63	2206	32264
64	2239	32216
65	2271	32147
66	2300	32040
67	2330	31937
68	2356	31800
69	2385	31687
70	2415	31606
71	2446	31538
72	2475	31435
73	2515	31472
74	2549	31442
75	2586	31449
76	2631	31543
77	2679	31669
78	2717	31677
79	2761	31753
80	2811	31895
81	2850	31908
82	2887	31896
83	2928	31935
84	2960	31874
85	2993	31812
86	3027	31769
87	3058	31692
88	3086	31593
89	3120	31546
90	3150	31471
91	3183	31418
92	3216	31370
93	3252	31349
94	3281	31262
95	3316	31229
96	3349	31179
97	3379	31104
98	3409	31027
99	3445	31008
100	3477	30952
101	3509	30896
102	3540	30836
103	3571	30768
104	3599	30683
105	3633	30640
106	3659	30541
107	3690	30484
108	3720	30410
109	3749	30338
110	3783	30301
111	3823	30312
112	3856	30272
113	3892	30248
114	3938	30313
115	3979	30327
116	4019	30332
117	4064	30382
118	4109	30426
119	4145	30397
120	4179	30360
121	4217	30355
122	4248	30295
123	4285	30277
124	4318	30227
125	4349	30169
126	4389	30172
127	4421	30119
128	4449	30046
129	4485	30019
130	4516	29962
131	4549	29913
132	4577	29839
133	4613	29817
134	4649	29790
135	4682	29748
136	4726	29772
137	4766	29770
138	4805	29763
139	4848	29786
140	4887	29772
141	4920	29729
142	4962	29739
143	4997	29709
144	5037	29706
145	5078	29705
146	5113	29671
147	5152	29662
148	5197	29685
149	5240	29694
150	5282	29701
151	5317	29663
152	5355	29649
153	5396	29645
154	5431	29611
155	5465	29568
156	5500	29532
157	5534	29491
158	5563	29425
159	5594	29371
160	5630	29342
161	5664	29299
162	5693	29233
163	5727	29195
164	5761	29155
165	5797	29125
166	5828	29074
167	5865	29048
168	5898	29002
169	5931	28959
170	5970	28942
171	5998	28876
172	6030	28826
173	6066	28798
174	6101	28762
175	6131	28707
176	6169	28688
177	6209	28676
178	6243	28634
179	6273	28579
180	6308	28544
181	6344	28516
182	6373	28455
183	6414	28445
184	6454	28432
185	6487	28390
186	6538	28426
187	6572	28387
188	6625	28431
189	6669	28434
190	6698	28372
191	6735	28346
192	6769	28303
193	6802	28259
194	6837	28224
195	6872	28192
196	6909	28162
197	6942	28119
198	6981	28102
199	7013	28053
200	7053	28038
201	7087	27999
202	7131	27997
203	7171	27983
204	7211	27966
205	7243	27919
206	7288	27922
207	7328	27903
208	7368	27888
209	7397	27829
210	7426	27768
211	7459	27725
212	7491	27679
213	7526	27645
214	7561	27608
215	7596	27570
216	7623	27506
217	7659	27474
218	7690	27424
219	7727	27398
220	7768	27382
221	7804	27351
222	7846	27337
223	7891	27340
224	7931	27318
225	7959	27260
226	7989	27206
227	8031	27195
228	8069	27168
229	8105	27135
230	8139	27095
231	8167	27037
232	8201	26998
233	8231	26944
234	8262	26897
235	8288	26831
236	8315	26769
237	8343	26714
238	8375	26668
239	8406	26621
240	8437	26572
241	8469	26527
242	8502	26486
243	8536	26448
244	8570	26411
245	8600	26359
246	8633	26319
247	8663	26269
248	8695	26224
249	8726	26180
250	8756	26129
251	8781	26066
252	8810	26013
253	8838	25958
254	8867	25908
255	8899	25864
256	8930	25817
257	8961	25773
258	9000	25751
259	9048	25754
260	9111	25798
261	9266	26101
262	9411	26373
263	9483	26439
264	9536	26451
265	9595	26477
266	9633	26448
267	9674	26423
268	9711	26390
269	9750	26361
270	9785	26322
271	9820	26283
272	9856	26248
273	9888	26201
274	9921	26156
275	9959	26125
276	9989	26074
277	10029	26048
278	10063	26005
279	10100	25973
280	10131	25922
281	10163	25878
282	10196	25833
283	10227	25784
284	10262	25745
285	10295	25702
286	10340	25688
287	10379	25659
288	10422	25642
289	10465	25621
290	10501	25586
291	10537	25549
292	10567	25499
293	10596	25446
294	10633	25411
295	10662	25360
296	10689	25301
297	10726	25268
298	10755	25216
299	10784	25164
300	10819	25126
301	10854	25086
302	10886	25041
303	10918	24996
304	10952	24957
305	10989	24922
306	11022	24880
307	11058	24846
308	11093	24807
309	11128	24770
310	11168	24743
311	11196	24689
312	11237	24665
313	11284	24652
314	11328	24634
315	11369	24609
316	11408	24579
317	11445	24546
318	11499	24548
319	11543	24530
320	11586	24508
321	11638	24505
322	11678	24478
323	11722	24459
324	11767	24440
325	11805	24406
326	11847	24383
327	11882	24344
328	11914	24298
329	11944	24250
330	11981	24215
331	12016	24178
332	12049	24134
333	12083	24095
334	12114	24048
335	12146	24004
336	12184	23971
